Frame,Time (s),Red,Green,Blue,Greyscale
316,0.632,13.38890076,8.384933472,4.466825485,9.429830551
317,0.634,13.40287876,8.409277916,4.480014801,9.450059891
318,0.636,13.42688179,8.432548523,4.483201027,9.471067429
319,0.638,13.46537399,8.466335297,4.48224926,9.50244236
320,0.64,13.50626087,8.490272522,4.482507706,9.52864933
321,0.642,13.52470684,8.512001991,4.502807617,9.549338341
322,0.644,13.55543613,8.534871101,4.528461456,9.574834824
323,0.646,13.5790081,8.552001953,4.524547577,9.591183662
324,0.648,13.60281944,8.569896698,4.533848763,9.610398293
325,0.65,13.61223888,8.576274872,4.527729034,9.616317749
326,0.652,13.62668037,8.59092617,4.530160904,9.629701614
327,0.654,13.64503765,8.598992348,4.543121338,9.641274452
328,0.656,13.6428051,8.586933136,4.55760479,9.635127068
329,0.658,13.64019108,8.578284264,4.582690239,9.631969452
330,0.66,13.62247849,8.571209908,4.59869194,9.623750687
331,0.662,13.62438583,8.568845749,4.645503044,9.628715515
332,0.664,13.62322044,8.563079834,4.67458725,9.628328323
333,0.666,13.61920261,8.569755554,4.703724861,9.634373665
334,0.668,13.61694908,8.567372322,4.7128582,9.633581161
335,0.67,13.60008144,8.575582504,4.730278969,9.635227203
336,0.672,13.5948019,8.57087326,4.740384102,9.63193512
337,0.674,13.56888676,8.558423996,4.725496292,9.614757538
338,0.676,13.56818295,8.559557915,4.720452309,9.615177155
339,0.678,13.56124973,8.565285683,4.704380989,9.614441872
340,0.68,13.56193447,8.565309525,4.692250252,9.613212585
341,0.682,13.55222988,8.571079254,4.676954269,9.612280846
342,0.684,13.5445013,8.576324463,4.656389236,9.610547066
343,0.686,13.57045269,8.593837738,4.651012421,9.627933502
344,0.688,13.59505653,8.617508888,4.641403198,9.648073196
345,0.69,13.63051891,8.655269623,4.654266357,9.682731628
346,0.692,13.63795662,8.691868782,4.65749836,9.706839561
347,0.694,13.65238094,8.729751587,4.669985771,9.734596252
348,0.696,13.68565559,8.778960228,4.693023682,9.776211739
349,0.698,13.76027393,8.836608887,4.698540688,9.832803726
